plots_cells,plots_size,plots_size_L0,plots_size_L1,plots_size_L2,caseID,caseDir
786432,2.2693793e8,2.14073685e8,1.900739e6,3.363079e6,case4_cfl6_maxl4,sedov_2d_cyl_in_cart_plt00020
1048576,3.03501668e8,2.8543159e8,2.534328e6,4.484114e6,case4_cfl6_maxl4,sedov_2d_cyl_in_cart_plt00030
1310720,3.81745236e8,3.56789495e8,3.167916e6,6.240464e6,case4_cfl6_maxl4,sedov_2d_cyl_in_cart_plt00040
1572864,4.61188737e8,4.281474e8,3.801505e6,7.996807e6,case4_cfl6_maxl4,sedov_2d_cyl_in_cart_plt00050
1835008,5.44690335e8,4.99505305e8,4.92252e6,1.0519105e7,case4_cfl6_maxl4,sedov_2d_cyl_in_cart_plt00060
2097152,6.32474994e8,5.7086321e8,6.043535e6,1.3958659e7,case4_cfl6_maxl4,sedov_2d_cyl_in_cart_plt00070
2359296,7.25808652e8,6.42221115e8,7.799836e6,1.8442706e7,case4_cfl6_maxl4,sedov_2d_cyl_in_cart_plt00080
2621440,8.2934747e8,7.1357902e8,1.0322081e7,2.5449026e7,case4_cfl6_maxl4,sedov_2d_cyl_in_cart_plt00090
2883584,9.39668632e8,7.84936925e8,1.2844325e7,3.393655e7,case4_cfl6_maxl4,sedov_2d_cyl_in_cart_plt00100
3145728,1.058333023e9,8.5629483e8,1.6283803e7,4.4025583e7,case4_cfl6_maxl4,sedov_2d_cyl_in_cart_plt00110
3407872,1.185167395e9,9.27652735e8,1.9723288e7,5.5877886e7,case4_cfl6_maxl4,sedov_2d_cyl_in_cart_plt00120
3670016,1.321912575e9,9.9901064e8,2.4207249e7,6.9610233e7,case4_cfl6_maxl4,sedov_2d_cyl_in_cart_plt00130
3932160,1.468167248e9,1.070368545e9,2.8691198e7,8.533257e7,case4_cfl6_maxl4,sedov_2d_cyl_in_cart_plt00140
4194304,1.625827155e9,1.141726452e9,3.4374324e7,1.03213487e8,case4_cfl6_maxl4,sedov_2d_cyl_in_cart_plt00150
4456448,1.787734729e9,1.213084357e9,4.0057457e7,1.21094397e8,case4_cfl6_maxl4,sedov_2d_cyl_in_cart_plt00160
4718592,1.960883693e9,1.284442262e9,4.5740596e7,1.41295623e8,case4_cfl6_maxl4,sedov_2d_cyl_in_cart_plt00170
4980736,2.147262459e9,1.355800167e9,5.2746754e7,1.63933961e8,case4_cfl6_maxl4,sedov_2d_cyl_in_cart_plt00180
5242880,2.346228865e9,1.427158072e9,5.9752902e7,1.89133167e8,case4_cfl6_maxl4,sedov_2d_cyl_in_cart_plt00190
5505024,2.554639116e9,1.498515977e9,6.824025e7,2.17072118e8,case4_cfl6_maxl4,sedov_2d_cyl_in_cart_plt00200
